timestamp,門診大樓_AH_1_3冰水流量,門診大樓_AH_1_3溫度1,門診大樓_AH_1_3溫度2,門診大樓_AH_1_3冷凍頓,門診大樓_AH_1_3冰水效率,門診大樓_AH_1_3電壓平均,門診大樓_AH_1_3電流平均,門診大樓_AH_1_3輸出功率,門診大樓_AH_1_3輸出功率千瓦時,門診大樓_AH_1_3 EC_FAN直流電壓,門診大樓_AH_1_3 EC_FAN直流電流,門診大樓_AH_1_3 EC_FAN有效功率,門診大樓_AH_1_3 EC_FAN輸出功率千瓦時
2026-09-05T07:38:00.000+08:00,6.857976913452148,19.745542526245117,19.111328125,0.07011162489652634,0.0,387.20001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T07:39:00.000+08:00,7.1714348793029785,19.7473087310791,19.1953125,0.06389115005731583,0.0,387.20001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T07:40:00.000+08:00,6.836624622344971,19.64374542236328,19.1669921875,0.1011306419968605,0.0,386.70001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T07:41:00.000+08:00,7.061538219451904,19.63184928894043,19.09765625,0.07733997702598572,0.0,386.79998779296875,1.8329999446868896,1.031000018119812,2543.5,nan,nan,nan,65536.0
2026-09-05T07:42:00.000+08:00,6.274919509887695,19.74862289428711,19.26416015625,0.05935678631067276,0.0,387.70001220703125,1.8370000123977661,1.0369999408721924,2543.5,nan,nan,nan,65536.0
2026-09-05T07:43:00.000+08:00,6.710766315460205,19.70550537109375,18.75,0.07112772762775421,14.495050430297852,387.70001220703125,1.840000033378601,1.0379999876022339,2543.5,nan,nan,nan,65536.0
2026-09-05T07:44:00.000+08:00,6.328522205352783,20.933570861816406,11.41015625,0.060831889510154724,17.079856872558594,387.8999938964844,1.8339999914169312,1.0390000343322754,2543.60009765625,516.796875,1.990625023841858,1.0403228998184204,2622.0
2026-09-05T07:45:00.000+08:00,20.55970001220703,20.296539306640625,9.8056640625,0.38977906107902527,2.6681783199310303,387.3999938964844,1.843000054359436,1.0410000085830688,2543.60009765625,516.796875,1.990625023841858,1.0427453517913818,2622.0
2026-09-05T07:46:00.000+08:00,28.064008712768555,18.439903259277344,9.4931640625,5.302870273590088,0.19593162834644318,387.6000061035156,1.8480000495910645,1.0429999828338623,2543.60009765625,516.796875,1.990625023841858,1.0443603992462158,2622.0
2026-09-05T07:47:00.000+08:00,23.025768280029297,16.721282958984375,9.104248046875,4.794526100158691,0.21712259948253632,387.20001220703125,1.8539999723434448,1.0379999876022339,2543.60009765625,516.796875,1.990625023841858,1.0409958362579346,2622.0
2026-09-05T07:48:00.000+08:00,34.18430709838867,15.79150390625,9.1875,6.068203449249268,0.17187952995300293,387.29998779296875,1.8459999561309814,1.0429999828338623,2543.60009765625,513.28125,1.990625023841858,1.0447640419006348,2622.0
2026-09-05T07:49:00.000+08:00,34.108848571777344,14.72109603881836,8.9375,5.154916286468506,0.20136117935180664,386.79998779296875,1.906000018119812,1.0440000295639038,2543.60009765625,513.28125,1.990625023841858,1.0430145263671875,2622.0
2026-09-05T07:50:00.000+08:00,56.68846893310547,13.94205093383789,9.138916015625,7.340728282928467,0.14208398759365082,387.1000061035156,1.9140000343322754,1.0490000247955322,2543.699951171875,513.28125,2.0289063453674316,1.0496090650558472,2622.0
2026-09-05T07:51:00.000+08:00,45.88592529296875,13.456897735595703,9.02099609375,5.265577793121338,0.1982688456773758,387.1000061035156,1.8600000143051147,1.0479999780654907,2543.699951171875,513.28125,1.990625023841858,1.0479941368103027,2622.0
2026-09-05T07:52:00.000+08:00,99.58341979980469,13.273551940917969,9.097412109375,9.47037410736084,0.11076647788286209,386.79998779296875,1.8589999675750732,1.0540000200271606,2543.699951171875,513.28125,2.0289063453674316,1.053242802619934,2623.0
