timestamp,門診大樓_AH_3_2冰水流量,門診大樓_AH_3_2溫度1,門診大樓_AH_3_2溫度2,門診大樓_AH_3_2冷凍頓,門診大樓_AH_3_2冰水效率,門診大樓_AH_3_2電壓平均,門診大樓_AH_3_2電流平均,門診大樓_AH_3_2輸出功率,門診大樓_AH_3_2輸出功率千瓦時,門診大樓_AH_3_2_1 EC_FAN直流電壓,門診大樓_AH_3_2_1 EC_FAN直流電流,門診大樓_AH_3_2_1 EC_FAN有效功率,門診大樓_AH_3_2_1 EC_FAN輸出功率千瓦時,門診大樓_AH_3_2_2 EC_FAN直流電壓,門診大樓_AH_3_2_2 EC_FAN直流電流,門診大樓_AH_3_2_2 EC_FAN有效功率,門診大樓_AH_3_2_2 EC_FAN輸出功率千瓦時,門診大樓_AH_3_2_3 EC_FAN直流電壓,門診大樓_AH_3_2_3 EC_FAN直流電流,門診大樓_AH_3_2_3 EC_FAN有效功率,門診大樓_AH_3_2_3 EC_FAN輸出功率千瓦時
2026-09-04T19:15:00.000+08:00,544.134521484375,9.314865112304688,11.604248046875,23.692312240600586,0.1536785513162613,389.29998779296875,6.230999946594238,3.638000011444092,1745.9000244140625,516.796875,2.0289063453674316,1.0649514198303223,2619.0,516.796875,2.0289063453674316,1.0649514198303223,2619.0,516.796875,2.0289063453674316,1.0649514198303223,2619.0
2026-09-04T19:16:00.000+08:00,537.0371704101562,9.315570831298828,11.659912109375,25.079702377319336,0.14469867944717407,389.29998779296875,6.2170000076293945,3.638000011444092,1746.0,516.796875,2.067187547683716,1.0789480209350586,2619.0,516.796875,2.067187547683716,1.0789480209350586,2619.0,516.796875,2.067187547683716,1.0789480209350586,2619.0
2026-09-04T19:17:00.000+08:00,537.0374145507812,9.35616683959961,11.5908203125,23.942724227905273,0.15409106016159058,389.70001220703125,6.23799991607666,3.6470000743865967,1746.0999755859375,516.796875,2.067187547683716,1.0757180452346802,2619.0,516.796875,2.067187547683716,1.0757180452346802,2619.0,516.796875,2.067187547683716,1.0757180452346802,2619.0
2026-09-04T19:18:00.000+08:00,539.0719604492188,9.352558135986328,11.659912109375,24.48689842224121,0.14848756790161133,389.5,6.264999866485596,3.6429998874664307,1746.0999755859375,516.796875,2.067187547683716,1.07666015625,2619.0,516.796875,2.067187547683716,1.07666015625,2619.0,516.796875,2.067187547683716,1.07666015625,2619.0
2026-09-04T19:19:00.000+08:00,540.5760498046875,9.331729888916016,11.632080078125,25.144685745239258,0.14468266069889069,389.6000061035156,6.288000106811523,3.6480000019073486,1746.199951171875,516.796875,2.067187547683716,1.0790826082229614,2619.0,516.796875,2.067187547683716,1.0790826082229614,2619.0,516.796875,2.067187547683716,1.0790826082229614,2619.0
2026-09-04T19:20:00.000+08:00,546.0581665039062,9.322036743164062,11.6806640625,24.21127700805664,0.15063229203224182,389.6000061035156,6.2829999923706055,3.6480000019073486,1746.199951171875,516.796875,2.067187547683716,1.0804284811019897,2619.0,516.796875,2.067187547683716,1.0804284811019897,2619.0,516.796875,2.067187547683716,1.0804284811019897,2619.0
2026-09-04T19:21:00.000+08:00,537.6424560546875,9.314140319824219,11.6806640625,24.613670349121094,0.14800718426704407,389.70001220703125,6.250999927520752,3.6410000324249268,1746.300048828125,516.796875,2.0289063453674316,1.0724880695343018,2619.0,516.796875,2.0289063453674316,1.0724880695343018,2619.0,516.796875,2.0289063453674316,1.0724880695343018,2619.0
2026-09-04T19:22:00.000+08:00,541.5347290039062,9.354362487792969,11.6806640625,24.71660804748535,0.14759306609630585,389.5,6.302999973297119,3.6449999809265137,1746.4000244140625,516.796875,2.0289063453674316,1.0734301805496216,2619.0,516.796875,2.0289063453674316,1.0734301805496216,2619.0,516.796875,2.0289063453674316,1.0734301805496216,2619.0
2026-09-04T19:23:00.000+08:00,548.374755859375,9.349693298339844,11.659912109375,25.662879943847656,0.1421508491039276,389.5,6.2729997634887695,3.6429998874664307,1746.4000244140625,516.796875,2.067187547683716,1.0749106407165527,2619.0,516.796875,2.067187547683716,1.0749106407165527,2619.0,516.796875,2.067187547683716,1.0749106407165527,2619.0
2026-09-04T19:24:00.000+08:00,557.1320190429688,9.320606231689453,11.625,26.093700408935547,0.1398421823978424,389.6000061035156,6.263999938964844,3.6459999084472656,1746.5,516.796875,2.067187547683716,1.078678846359253,2620.0,516.796875,2.067187547683716,1.078678846359253,2620.0,516.796875,2.067187547683716,1.078678846359253,2620.0
